
                  X                 S11                S12                S13                S22                S23                S33                SP1                SP2                SP3              SDV_Seq            SDV_Svm             SDV_D            SDV_TRIAX           SDV_LODE           SDV_EQPS         SDV_EQPSdot           SDV_T                U2                RF2                RF2L          U2_EXT_X05_Y1  
                5.34042          118.713              2.14619            6.52872E-03        2.20954          -15.8362E-03         1.64035            1.63987            2.1705           118.752            116.848            116.848              0.               349.636E-03        992.489E-03          0.                 1.E-03            25.               620.208E-06        -10.841             10.4694            76.4696E-06 
                5.42018          120.955              2.18574            6.88247E-03        2.23028          -16.2902E-03         1.63641            1.63592            2.19054          120.996            119.083            119.083              0.               349.397E-03        992.297E-03          0.                 1.E-03            25.               645.032E-06        -11.0361            10.9896            78.1106E-06 
                5.49994          125.575              2.26929            7.30904E-03        2.33347          -16.2093E-03         1.58911            1.58873            2.29208          125.617            123.678            123.678              0.               349.018E-03        990.594E-03          0.                 1.E-03            25.               670.706E-06        -11.4638            11.7147            80.8406E-06 
                5.57971          129.468              2.33862            7.15019E-03        2.42192          -17.6616E-03         1.79372            1.79318            2.37943          129.511            127.426            127.426              0.               349.703E-03        992.39E-03           0.                 1.E-03            25.               697.231E-06        -11.7221            12.2559            83.1062E-06 
                5.65947          135.654              2.4506             7.68628E-03        2.53299          -18.3551E-03         1.8493             1.84876            2.48843          135.7              133.532            133.532              0.               349.571E-03        992.077E-03          0.                 1.E-03            25.               724.607E-06        -12.263             12.4449            86.9776E-06 
                5.73923          144.138              2.60409            8.37612E-03        2.67518          -19.0683E-03         1.85601            1.85554            2.62773          144.186            141.946            141.946              0.               349.122E-03        991.002E-03          0.                 1.E-03            25.               752.834E-06        -13.0522            12.8978            92.5448E-06 
                5.819            150.264              2.71164            9.11191E-03        2.8208           -19.9038E-03         1.93932            1.93884            2.77143          150.314            147.96             147.96               0.               349.247E-03        990.693E-03          0.                 1.E-03            25.               781.912E-06        -13.5208            13.2006            96.1519E-06 
                5.89876          154.437              2.78879            8.90531E-03        2.88581          -21.0667E-03         2.15532            2.15466            2.83518          154.488            151.994            151.994              0.               349.745E-03        992.595E-03          0.                 1.E-03            25.               811.841E-06        -13.9101            13.7628            99.0114E-06 
                5.97852          158.936              2.87231            8.79718E-03        2.9429           -21.2385E-03         2.15185            2.15123            2.89065          158.988            156.469            156.469              0.               349.442E-03        992.184E-03          0.                 1.E-03            25.               842.622E-06        -14.3437            14.746            102.066E-06  
                6.05829          164.094              2.96361            9.44924E-03        3.03941          -21.3482E-03         2.12192            2.12138            2.98543          164.148            161.597            161.597              0.               349.131E-03        991.156E-03          0.                 1.E-03            25.               874.252E-06        -14.8075            15.134            105.464E-06  
                6.13805          170.267              3.07458            9.66936E-03        3.17823          -22.9377E-03         2.35696            2.35626            3.12237          170.324            167.586            167.586              0.               349.676E-03        992.439E-03          0.                 1.E-03            25.               906.603E-06        -15.4136            15.5933           109.384E-06  
                6.21782          178.675              3.22931            9.96714E-03        3.31209          -23.7748E-03         2.37454            2.37388            3.2533           178.735            175.923            175.923              0.               349.324E-03        991.732E-03          0.                 1.E-03            25.               939.038E-06        -16.3161            16.0221           115.037E-06  
                6.29758          182.999              3.30766           10.1862E-03         3.40639          -24.0403E-03         2.44031            2.43966            3.34614          183.06             180.169            180.169              0.               349.387E-03        991.678E-03          0.                 1.E-03            25.               971.473E-06        -16.7325            16.4761           117.857E-06  
                6.37734          190.149              3.43401           10.9895E-03         3.55127          -25.2044E-03         2.47519            2.47455            3.48873          190.212            187.233            187.233              0.               349.254E-03        991.041E-03          0.                 1.E-03            25.                 1.00391E-03      -17.194             17.1133           121.99E-06   
