
                  X               SDV_EQPS           SDV_Seq            SDV_Qeq             MISES      

                0.                 0.                 0.                 0.                 0.         
              118.079E-03        108.078E-03        706.697            706.697            706.697      
              118.729E-03        108.656E-03        707.327            707.327            707.327      
              119.378E-03        109.234E-03        707.954            707.954            707.954      
              120.028E-03        109.811E-03        708.577            708.577            708.577      
              120.677E-03        110.387E-03        709.197            709.197            709.197      
              121.327E-03        110.964E-03        709.813            709.813            709.813      
              121.976E-03        111.54E-03         710.425            710.425            710.425      
              122.625E-03        112.115E-03        711.035            711.035            711.035      
              123.275E-03        112.69E-03         711.641            711.641            711.641      
              123.924E-03        113.265E-03        712.244            712.244            712.244      
              124.573E-03        113.839E-03        712.843            712.843            712.843      
              125.222E-03        114.413E-03        713.44             713.44             713.44       
              125.87E-03         114.986E-03        714.033            714.033            714.033      
              126.519E-03        115.559E-03        714.623            714.623            714.623      
              127.168E-03        116.132E-03        715.209            715.209            715.209      
              127.816E-03        116.704E-03        715.793            715.793            715.793      
              128.465E-03        117.276E-03        716.374            716.374            716.374      
              129.113E-03        117.847E-03        716.952            716.952            716.952      
              129.761E-03        118.419E-03        717.526            717.526            717.526      
              130.409E-03        118.989E-03        718.098            718.098            718.098      
              131.057E-03        119.559E-03        718.667            718.667            718.667      
              131.705E-03        120.129E-03        719.232            719.232            719.232      
              132.353E-03        120.699E-03        719.795            719.795            719.795      
              133.001E-03        121.268E-03        720.355            720.355            720.355      
              133.648E-03        121.837E-03        720.913            720.913            720.913      
              134.296E-03        122.405E-03        721.467            721.467            721.467      
              134.943E-03        122.973E-03        722.019            722.019            722.019      
              135.591E-03        123.54E-03         722.568            722.568            722.568      
              136.238E-03        124.107E-03        723.114            723.114            723.114      
              136.885E-03        124.674E-03        723.657            723.657            723.657      
              137.532E-03        125.24E-03         724.198            724.198            724.198      
              138.179E-03        125.806E-03        724.736            724.736            724.736      
              138.826E-03        126.372E-03        725.272            725.272            725.272      
              139.473E-03        126.937E-03        725.805            725.805            725.805      
              140.12E-03         127.502E-03        726.335            726.335            726.335      
              140.767E-03        128.066E-03        726.863            726.863            726.863      
              141.413E-03        128.63E-03         727.388            727.388            727.388      
              142.06E-03         129.194E-03        727.911            727.911            727.911      
              142.706E-03        129.757E-03        728.431            728.431            728.431      
              143.352E-03        130.32E-03         728.949            728.949            728.949      
              143.998E-03        130.882E-03        729.465            729.465            729.465      
              144.644E-03        131.444E-03        729.978            729.978            729.978      
              145.29E-03         132.006E-03        730.488            730.488            730.488      
