
                  X                 S11                S12                S13                S22                S23                S33                SP1                SP2                SP3              SDV_Seq            SDV_Svm             SDV_D            SDV_TRIAX           SDV_LODE           SDV_EQPS         SDV_EQPSdot           SDV_T                U2                RF2                RF2L            U2_EXT_Y1    
                3.76499           31.6193          -313.656E-06        458.586E-06          4.00233          285.83E-06        -140.53E-03        -140.53E-03           4.00233           31.6193            29.9044            29.9044             0.               395.495E-03        770.309E-03          0.                 1.E-03            25.               418.017E-06         -5.02784            4.6984            30.4354E-06 
                3.85057           32.9479            -1.37221E-03     -652.799E-06          4.57915          293.152E-06          6.72519E-03        6.72516E-03        4.57915           32.9479            30.9097            30.9097             0.               404.769E-03        754.654E-03          0.                 1.E-03            25.               427.519E-06         -5.222              5.36978           31.336E-06  
                3.93615           32.795           -119.578E-06        268.834E-06          4.17305          -39.5835E-06        29.6643E-03        29.6643E-03         4.17305           32.795             30.9027            30.9027             0.               399.078E-03        777.735E-03          0.                 1.E-03            25.               437.02E-06          -5.15216            5.26359           31.4619E-06 
                4.02173           34.5256          -979.232E-06       -147.305E-06          4.15511          286.047E-06        -99.4502E-03       -99.4502E-03         4.15511           34.5256            32.706             32.706              0.               393.213E-03        784.384E-03          0.                 1.E-03            25.               446.678E-06         -5.43031            5.56601           33.1162E-06 
                4.10731           34.681           -321.212E-06        330.435E-06          4.16641          395.655E-06        -40.1734E-03       -40.1735E-03         4.16641           34.681             32.8207            32.8207             0.               394.134E-03        787.573E-03          0.                 1.E-03            25.               457.423E-06         -5.48529            5.26336           33.4031E-06 
                4.19289           35.6223          -150.616E-06        -66.7814E-06         5.36944           -1.06368E-03      -99.2433E-03       -99.2435E-03         5.36944           35.6223            33.3255            33.3255             0.               409.022E-03        727.66E-03           0.                 1.E-03            25.               469.406E-06         -5.6772             5.57176           33.9511E-06 
                4.27847           36.0161            -1.12706E-03       68.3934E-06         4.51241          730.898E-06         70.3699E-03        70.3698E-03         4.51241           36.0161            33.9434            33.9434             0.               398.692E-03        783.083E-03          0.                 1.E-03            25.               482.63E-06          -5.70661            6.18116           34.6644E-06 
                4.36405           36.9115          -954.297E-06       -180.433E-06          4.79144         -761.246E-06       -143.824E-03       -143.824E-03          4.79144           36.9115            34.8507            34.8507             0.               397.496E-03        765.185E-03          0.                 1.E-03            25.               497.093E-06         -5.83663            6.09213           35.3572E-06 
                4.44962           39.1651          -528.211E-06       -115.668E-06          5.55139           81.4274E-06        17.9202E-03        17.9202E-03         5.55139           39.1651            36.6947            36.6947             0.               406.366E-03        749.868E-03          0.                 1.E-03            25.               512.795E-06         -6.28895            6.14717           37.5341E-06 
                4.5352            40.7645            -1.08218E-03      384.269E-06          4.38827          -74.9614E-06       146.347E-03        146.347E-03          4.38827           40.7645            38.672             38.672              0.               390.455E-03        818.301E-03          0.                 1.E-03            25.               529.737E-06         -6.4141             6.12758           39.3964E-06 
                4.62078           42.0548            -1.38207E-03      539.196E-06          5.1209             7.78198E-06     -100.49E-03        -100.49E-03           5.1209            42.0548            39.8023            39.8023             0.               394.242E-03        782.556E-03          0.                 1.E-03            25.               547.918E-06         -6.67265            6.75549           40.3489E-06 
                4.70635           41.4397            -1.48209E-03     -230.101E-06          5.81863         -121.849E-06        -65.8745E-03       -65.8745E-03         5.81863           41.4397            38.8986            38.8986             0.               404.406E-03        749.067E-03          0.                 1.E-03            25.               567.339E-06         -6.58955            7.08081           39.6355E-06 
                4.79193           43.9534            -2.04721E-03        5.33286E-06        6.07385           76.5887E-06        51.0847E-03        51.0847E-03         6.07385           43.9534            41.2222            41.2222             0.               404.946E-03        757.695E-03          0.                 1.E-03            25.               587.999E-06         -7.00526            7.19771           42.0351E-06 
                4.8775            47.2501            -1.00794E-03     -243.748E-06          4.77574          124.888E-06        106.454E-03        106.454E-03          4.77574           47.2501            44.9911            44.9911             0.               386.242E-03        828.113E-03          0.                 1.E-03            25.               609.899E-06         -7.44789            7.12072           45.6999E-06 
                4.96308           47.8733            -1.2355E-03      -468.979E-06          6.2756           -76.6217E-06       -71.8501E-03       -71.8501E-03         6.2756            47.8733            45.1076            45.1076             0.               399.615E-03        766.674E-03          0.                 1.E-03            25.               633.038E-06         -7.6267             7.52919           45.9576E-06 
                5.04865           49.7345            -2.38018E-03     -758.217E-06          7.01777          -18.4028E-06       -23.1059E-03       -23.1059E-03         7.01777           49.7345            46.6375            46.6375             0.               405.462E-03        749.58E-03           0.                 1.E-03            25.               657.417E-06         -7.91807            8.17382           47.4751E-06 
                5.13422           50.98            -740.51E-06         -28.9058E-06         6.68055          -53.5072E-06        84.4258E-03        84.4258E-03         6.68055           50.98              47.9391            47.9391             0.               401.516E-03        771.879E-03          0.                 1.E-03            25.               683.035E-06         -8.0667             8.30234           48.9678E-06 
