"E0",,,,,"E1",,,,"E2",,,,"E3",,,,"E4",,,,"E5",,,,"E6",,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
42,0.00744952,0.0489472,6.61947,6.57052,0.00750006,0.0147838,1.98594,1.97116,0.00747606,0.029473,3.97178,3.94231,-0.00302139,-0.00595563,1.9652,1.97116,-0.00332676,-0.00218586,0.654866,0.657052,-0.00310946,-0.00340513,1.09168,1.09509,-0.00341099,-0.00522946,1.52789,1.53312
43,0.00785804,0.0516314,6.62215,6.57052,0.00787428,0.0155214,1.98668,1.97116,0.00790182,0.0311514,3.97346,3.94231,-0.00322895,-0.00636476,1.96479,1.97116,-0.00349843,-0.00229865,0.654753,0.657052,-0.00328908,-0.00360183,1.09148,1.09509,-0.00354334,-0.00543237,1.52769,1.53312
44,0.00825237,0.0542223,6.62474,6.57052,0.00831239,0.016385,1.98754,1.97116,0.00832611,0.0328241,3.97514,3.94231,-0.00338702,-0.00667634,1.96448,1.97116,-0.0036142,-0.00237472,0.654677,0.657052,-0.00339692,-0.00371993,1.09137,1.09509,-0.00371043,-0.00568853,1.52743,1.53312
45,0.00865842,0.0568903,6.62741,6.57052,0.00874928,0.0172462,1.9884,1.97116,0.00876136,0.03454,3.97685,3.94231,-0.00355002,-0.00699764,1.96416,1.97116,-0.0037333,-0.00245297,0.654599,0.657052,-0.00348125,-0.00381227,1.09127,1.09509,-0.00383423,-0.00587835,1.52724,1.53312
46,0.00903089,0.0593376,6.62986,6.57052,0.00915326,0.0180425,1.9892,1.97116,0.009115,0.0359342,3.97825,3.94231,-0.00369695,-0.00728727,1.96387,1.97116,-0.00400687,-0.00263272,0.654419,0.657052,-0.00365186,-0.0039991,1.09109,1.09509,-0.00397013,-0.00608669,1.52703,1.53312
47,0.00945673,0.0621357,6.63266,6.57052,0.00962324,0.0189689,1.99012,1.97116,0.0095461,0.0376337,3.97995,3.94231,-0.00386375,-0.00761605,1.96354,1.97116,-0.00418388,-0.00274903,0.654303,0.657052,-0.0039199,-0.00429263,1.09079,1.09509,-0.00416956,-0.00639244,1.52673,1.53312
48,0.00985617,0.0647602,6.63528,6.57052,0.00996284,0.0196383,1.99079,1.97116,0.00994703,0.0392143,3.98153,3.94231,-0.00403261,-0.00794891,1.96321,1.97116,-0.00428791,-0.00281738,0.654235,0.657052,-0.00404311,-0.00442756,1.09066,1.09509,-0.00432899,-0.00663687,1.52648,1.53312
49,0.0102561,0.067388,6.63791,6.57052,0.0103896,0.0204796,1.99164,1.97116,0.0103512,0.0408076,3.98312,3.94231,-0.00418817,-0.00825553,1.9629,1.97116,-0.00459166,-0.00301696,0.654035,0.657052,-0.00427805,-0.00468484,1.0904,1.09509,-0.00447808,-0.00686544,1.52626,1.53312
50,0.0106624,0.0700578,6.64058,6.57052,0.010875,0.0214363,1.99259,1.97116,0.0107856,0.04252,3.98483,3.94231,-0.00438125,-0.00863612,1.96252,1.97116,-0.00487048,-0.00320015,0.653852,0.657052,-0.00443121,-0.00485256,1.09023,1.09509,-0.00463067,-0.00709938,1.52602,1.53312
51,0.0110619,0.0726825,6.6432,6.57052,0.0112411,0.0221579,1.99331,1.97116,0.011173,0.0440476,3.98636,3.94231,-0.0045596,-0.00898769,1.96217,1.97116,-0.00499296,-0.00328063,0.653771,0.657052,-0.00450925,-0.00493802,1.09015,1.09509,-0.00485232,-0.0074392,1.52568,1.53312
52,0.0114677,0.0753486,6.64587,6.57052,0.0116444,0.0229529,1.99411,1.97116,0.0115904,0.0456931,3.98801,3.94231,-0.00472686,-0.00931738,1.96184,1.97116,-0.00525726,-0.00345429,0.653598,0.657052,-0.0047541,-0.00520615,1.08988,1.09509,-0.00499376,-0.00765605,1.52547,1.53312
53,0.0118686,0.0779828,6.6485,6.57052,0.0120756,0.0238028,1.99496,1.97116,0.0119954,0.0472894,3.9896,3.94231,-0.00486889,-0.00959734,1.96156,1.97116,-0.00536863,-0.00352747,0.653524,0.657052,-0.00493435,-0.00540354,1.08968,1.09509,-0.00519897,-0.00797066,1.52515,1.53312
54,0.012269,0.0806135,6.65113,6.57052,0.0124541,0.024549,1.9957,1.97116,0.0123983,0.0488779,3.99119,3.94231,-0.00503275,-0.00992034,1.96124,1.97116,-0.00532891,-0.00350137,0.653551,0.657052,-0.00510714,-0.00559276,1.08949,1.09509,-0.00538561,-0.00825679,1.52486,1.53312
55,0.0126837,0.0833388,6.65386,6.57052,0.0128671,0.025363,1.99652,1.97116,0.01281,0.0505009,3.99281,3.94231,-0.00516727,-0.0101855,1.96097,1.97116,-0.00564665,-0.00371014,0.653342,0.657052,-0.00528181,-0.00578403,1.0893,1.09509,-0.00547074,-0.00838731,1.52473,1.53312
56,0.0130976,0.0860581,6.65658,6.57052,0.0133585,0.0263317,1.99749,1.97116,0.0132377,0.052187,3.9945,3.94231,-0.00529065,-0.0104287,1.96073,1.97116,-0.00571109,-0.00375248,0.653299,0.657052,-0.00547283,-0.00599322,1.08909,1.09509,-0.00561244,-0.00860456,1.52452,1.53312
57,0.0135252,0.0888675,6.65939,6.57052,0.0137767,0.027156,1.99831,1.97116,0.0136324,0.0537433,3.99606,3.94231,-0.0054428,-0.0107286,1.96043,1.97116,-0.00603924,-0.0039681,0.653084,0.657052,-0.00561599,-0.00615,1.08894,1.09509,-0.00583224,-0.00894153,1.52418,1.53312
58,0.0138979,0.0913164,6.66184,6.57052,0.0141527,0.0278972,1.99905,1.97116,0.0140467,0.0553763,3.99769,3.94231,-0.00556329,-0.0109661,1.96019,1.97116,-0.00593429,-0.00389914,0.653153,0.657052,-0.00577916,-0.00632868,1.08876,1.09509,-0.00599512,-0.00919124,1.52393,1.53312
59,0.014292,0.0939057,6.66443,6.57052,0.0145779,0.0287354,1.99989,1.97116,0.0144446,0.0569451,3.99926,3.94231,-0.00570819,-0.0112517,1.9599,1.97116,-0.00629554,-0.0041365,0.652915,0.657052,-0.00587488,-0.0064335,1.08865,1.09509,-0.00613265,-0.00940209,1.52372,1.53312
60,0.0146924,0.0965367,6.66706,6.57052,0.0150306,0.0296276,2.00078,1.97116,0.0148726,0.0586324,4.00094,3.94231,-0.00585645,-0.011544,1.95961,1.97116,-0.00627008,-0.00411977,0.652932,0.657052,-0.00595759,-0.00652407,1.08856,1.09509,-0.0063571,-0.0097462,1.52338,1.53312
61,0.0150876,0.0991331,6.66965,6.57052,0.0154466,0.0304477,2.0016,1.97116,0.0152972,0.0603064,4.00262,3.94231,-0.00603928,-0.0119044,1.95925,1.97116,-0.00653126,-0.00429137,0.652761,0.657052,-0.00617356,-0.00676059,1.08833,1.09509,-0.00656023,-0.0100576,1.52306,1.53312
62,0.0155096,0.101906,6.67243,6.57052,0.015845,0.031233,2.00239,1.97116,0.015702,0.061902,4.00421,3.94231,-0.00617812,-0.012178,1.95898,1.97116,-0.00677088,-0.00444882,0.652603,0.657052,-0.00633971,-0.00694253,1.08814,1.09509,-0.00670792,-0.010284,1.52284,1.53312
63,0.0159228,0.104621,6.67514,6.57052,0.0163022,0.0321341,2.00329,1.97116,0.0161094,0.0635082,4.00582,3.94231,-0.00635721,-0.012531,1.95863,1.97116,-0.00690045,-0.00453395,0.652518,0.657052,-0.00647737,-0.00709328,1.08799,1.09509,-0.00690024,-0.0105789,1.52254,1.53312
64,0.0162976,0.107083,6.6776,6.57052,0.0166699,0.032859,2.00401,1.97116,0.0165226,0.0651371,4.00745,3.94231,-0.0065227,-0.0128573,1.9583,1.97116,-0.00701955,-0.00461221,0.65244,0.657052,-0.00659095,-0.00721766,1.08787,1.09509,-0.0071217,-0.0109184,1.5222,1.53312
65,0.0167242,0.109887,6.68041,6.57052,0.0171409,0.0337874,2.00494,1.97116,0.0169432,0.0667955,4.00911,3.94231,-0.00666375,-0.0131353,1.95802,1.97116,-0.0072605,-0.00477052,0.652281,0.657052,-0.00672368,-0.00736301,1.08772,1.09509,-0.00724881,-0.0111133,1.52201,1.53312
66,0.0171337,0.112577,6.6831,6.57052,0.017561,0.0346155,2.00577,1.97116,0.0173701,0.0684785,4.01079,3.94231,-0.00679985,-0.0134036,1.95775,1.97116,-0.00738654,-0.00485334,0.652199,0.657052,-0.00690494,-0.00756151,1.08753,1.09509,-0.00748115,-0.0114695,1.52165,1.53312
67,0.0175313,0.11519,6.68571,6.57052,0.0179787,0.0354387,2.00659,1.97116,0.0177556,0.0699982,4.01231,3.94231,-0.00699543,-0.0137891,1.95737,1.97116,-0.00748537,-0.00491827,0.652134,0.657052,-0.00709197,-0.00776633,1.08732,1.09509,-0.00768603,-0.0117836,1.52134,1.53312
