Date of Test;Material;Sample Geometry;Orientation [°];Test Number;Nominal Speed [mm/min];Thickness [mm];Central Width [mm];Gauge Width / Diameter [mm];Pixel to mm ratio [mm/px];Extensometer 1-4 [mm];Extensometer 2-3 [mm];Extensometer 5-6 [mm];;;;;
09/07/21;DP600Large;NT6;00;2;0.0798;0.28843;2;4;0;6;0.2;0.4;;;;;
;;;;;;;;;;;;;;;;;
Time [s];U1 [mm];U2 [mm];U3 [mm];Force [kN];Ambient Temperature [°C];DIC Zone X 1 [px];DIC Zone Y 1 [px];DIC Zone X 2 [px];DIC Zone Y 2 [px];DIC Zone X 3 [px];DIC Zone Y 3 [px];DIC Zone X 4 [px];DIC Zone Y 4 [px];DIC Zone X 5 [px];DIC Zone Y 5 [px];DIC Zone X 6 [px];DIC Zone Y 6 [px]
77;0.024462;0.0021441;-0.00055491;0.28403;0;0;0;0;0;0;0;0;0;0;0;0;0
77.5;0.024882;0.002286;-0.00056113;0.28503;0;0;0;0;0;0;0;0;0;0;0;0;0
77.999;0.025357;0.0023346;-0.00052909;0.28608;0;0;0;0;0;0;0;0;0;0;0;0;0
78.5;0.025796;0.0023154;-0.00055858;0.28705;0;0;0;0;0;0;0;0;0;0;0;0;0
79;0.026336;0.0023236;-0.00060407;0.28801;0;0;0;0;0;0;0;0;0;0;0;0;0
79.5;0.026776;0.0023551;-0.00061893;0.28902;0;0;0;0;0;0;0;0;0;0;0;0;0
79.999;0.027205;0.0024469;-0.00061371;0.29002;0;0;0;0;0;0;0;0;0;0;0;0;0
80.5;0.027695;0.0024756;-0.0005994;0.29102;0;0;0;0;0;0;0;0;0;0;0;0;0
81;0.028191;0.0026037;-0.00063148;0.29182;0;0;0;0;0;0;0;0;0;0;0;0;0
81.499;0.028647;0.0025753;-0.00063619;0.29279;0;0;0;0;0;0;0;0;0;0;0;0;0
81.999;0.029092;0.0025508;-0.00068513;0.29375;0;0;0;0;0;0;0;0;0;0;0;0;0
82.5;0.029595;0.0026147;-0.00066632;0.29461;0;0;0;0;0;0;0;0;0;0;0;0;0
83;0.030003;0.0027939;-0.00069986;0.29554;0;0;0;0;0;0;0;0;0;0;0;0;0
83.5;0.03049;0.0028774;-0.00070309;0.29646;0;0;0;0;0;0;0;0;0;0;0;0;0
84;0.030973;0.0029061;-0.00072238;0.29722;0;0;0;0;0;0;0;0;0;0;0;0;0
84.5;0.031487;0.0029193;-0.00065596;0.29813;0;0;0;0;0;0;0;0;0;0;0;0;0
85;0.031911;0.0029493;-0.00070431;0.29902;0;0;0;0;0;0;0;0;0;0;0;0;0
85.499;0.032428;0.0030086;-0.00072394;0.29989;0;0;0;0;0;0;0;0;0;0;0;0;0
86;0.032847;0.0030393;-0.00077384;0.30063;0;0;0;0;0;0;0;0;0;0;0;0;0
86.5;0.033349;0.0031212;-0.00075333;0.30143;0;0;0;0;0;0;0;0;0;0;0;0;0
86.999;0.033862;0.0031462;-0.00074191;0.30234;0;0;0;0;0;0;0;0;0;0;0;0;0
87.499;0.034307;0.0032506;-0.00076834;0.30312;0;0;0;0;0;0;0;0;0;0;0;0;0
88;0.034754;0.0032756;-0.00081803;0.30389;0;0;0;0;0;0;0;0;0;0;0;0;0
88.499;0.035325;0.0033941;-0.00080811;0.30473;0;0;0;0;0;0;0;0;0;0;0;0;0
89;0.035833;0.0033324;-0.00088408;0.3055;0;0;0;0;0;0;0;0;0;0;0;0;0
89.5;0.036341;0.0034392;-0.00082985;0.3063;0;0;0;0;0;0;0;0;0;0;0;0;0
90;0.03679;0.0034409;-0.00087894;0.3071;0;0;0;0;0;0;0;0;0;0;0;0;0
90.5;0.03736;0.0036546;-0.00090879;0.30783;0;0;0;0;0;0;0;0;0;0;0;0;0
91;0.037844;0.0036574;-0.00088328;0.30855;0;0;0;0;0;0;0;0;0;0;0;0;0
91.5;0.038276;0.0037581;-0.00093979;0.30932;0;0;0;0;0;0;0;0;0;0;0;0;0
92;0.038826;0.0037485;-0.00092395;0.31008;0;0;0;0;0;0;0;0;0;0;0;0;0
92.499;0.039324;0.0037573;-0.00097537;0.31076;0;0;0;0;0;0;0;0;0;0;0;0;0
92.999;0.03983;0.0038977;-0.00096369;0.3115;0;0;0;0;0;0;0;0;0;0;0;0;0
93.499;0.040361;0.0039473;-0.0010243;0.31226;0;0;0;0;0;0;0;0;0;0;0;0;0
94;0.040858;0.0039968;-0.001045;0.31288;0;0;0;0;0;0;0;0;0;0;0;0;0
94.5;0.041186;0.0040249;-0.0010875;0.31356;0;0;0;0;0;0;0;0;0;0;0;0;0
95;0.041679;0.0041082;-0.0010843;0.31429;0;0;0;0;0;0;0;0;0;0;0;0;0
95.499;0.042371;0.0041492;-0.0010964;0.31507;0;0;0;0;0;0;0;0;0;0;0;0;0
96;0.042851;0.0042369;-0.0010791;0.31568;0;0;0;0;0;0;0;0;0;0;0;0;0
96.499;0.043369;0.0042616;-0.0011378;0.3164;0;0;0;0;0;0;0;0;0;0;0;0;0
97;0.043917;0.0043004;-0.0011154;0.31704;0;0;0;0;0;0;0;0;0;0;0;0;0
97.5;0.044471;0.0043945;-0.0011789;0.31774;0;0;0;0;0;0;0;0;0;0;0;0;0
98;0.045003;0.0044668;-0.0012446;0.31842;0;0;0;0;0;0;0;0;0;0;0;0;0
98.5;0.045474;0.0044758;-0.001225;0.31906;0;0;0;0;0;0;0;0;0;0;0;0;0
99;0.046003;0.0045456;-0.0012556;0.31968;0;0;0;0;0;0;0;0;0;0;0;0;0
99.5;0.04652;0.0045798;-0.0012254;0.32036;0;0;0;0;0;0;0;0;0;0;0;0;0
100;0.047067;0.0046279;-0.0012275;0.32097;0;0;0;0;0;0;0;0;0;0;0;0;0
100.5;0.04756;0.0046809;-0.0012576;0.32162;0;0;0;0;0;0;0;0;0;0;0;0;0
101;0.048002;0.0047423;-0.0013136;0.3222;0;0;0;0;0;0;0;0;0;0;0;0;0
101.5;0.048741;0.0047579;-0.0013136;0.32284;0;0;0;0;0;0;0;0;0;0;0;0;0
102;0.049222;0.0048904;-0.0013185;0.32346;0;0;0;0;0;0;0;0;0;0;0;0;0
102.5;0.049791;0.0049011;-0.001343;0.32404;0;0;0;0;0;0;0;0;0;0;0;0;0
103;0.050262;0.0050004;-0.0013482;0.32465;0;0;0;0;0;0;0;0;0;0;0;0;0
103.5;0.050973;0.0050097;-0.0013608;0.32522;0;0;0;0;0;0;0;0;0;0;0;0;0
104;0.051313;0.00513;-0.0013993;0.3258;0;0;0;0;0;0;0;0;0;0;0;0;0
104.5;0.051886;0.0052904;-0.0013614;0.32642;0;0;0;0;0;0;0;0;0;0;0;0;0
105;0.052406;0.0051963;-0.0013527;0.32704;0;0;0;0;0;0;0;0;0;0;0;0;0
105.5;0.052922;0.0052505;-0.0013622;0.32756;0;0;0;0;0;0;0;0;0;0;0;0;0
106;0.053336;0.0052734;-0.0014196;0.32821;0;0;0;0;0;0;0;0;0;0;0;0;0
